stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.18194] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18196] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18199] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18201] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18204] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18206] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18209] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18211] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18214] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18216] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18219] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18221] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18223] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18226] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18228] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18231] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18234] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18236] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18239] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18242] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18244] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18247] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18249] Score is : 769
